date,geo,search_volume,impressions,observed_clicks,dayofyear,time,budget
2020-01-07,geo_2,17408,2191,232,7,6,30.296939005719544
2020-01-07,geo_3,20800,2579,270,7,6,30.132112270755613
2020-01-07,geo_4,12563,1544,149,7,6,30.740035613509367
2020-01-07,geo_5,12168,1518,133,7,6,29.418522504392737
2020-01-07,geo_6,22086,2843,270,7,6,30.27995539747663
2020-01-07,geo_7,18103,2293,249,7,6,31.630051211826995
2020-01-07,geo_8,11292,1511,158,7,6,32.2275820077234
2020-01-07,geo_9,16101,2037,200,7,6,30.22107094138864
2020-01-08,geo_0,18142,2324,243,8,7,31.29566146283744
2020-01-08,geo_1,14841,1909,200,8,7,30.59793781081258
2020-01-08,geo_2,19199,2417,273,8,7,30.447008890831423
2020-01-08,geo_3,23538,3062,324,8,7,30.379239547420788
2020-01-08,geo_4,15049,1875,211,8,7,30.781777405829743
2020-01-08,geo_5,14545,1818,190,8,7,29.51168231943136
2020-01-08,geo_6,23283,2877,314,8,7,30.076774722564757
2020-01-08,geo_7,19933,2594,288,8,7,31.343905231519717
2020-01-08,geo_8,13567,1837,162,8,7,31.81663499540248
2020-01-08,geo_9,18403,2283,241,8,7,29.61431603087412
2020-01-09,geo_0,20642,2621,283,9,8,30.94588306481111
2020-01-09,geo_1,17207,2187,228,9,8,30.600314398028868
2020-01-09,geo_2,21068,2658,266,9,8,30.58878406558591
2020-01-09,geo_3,25407,3255,358,9,8,30.334600817057254
2020-01-09,geo_4,16138,2034,221,9,8,29.693349975943775
2020-01-09,geo_5,16391,2048,211,9,8,30.38839982817172
2020-01-09,geo_6,25007,3192,373,9,8,30.711075481445558
2020-01-09,geo_7,21816,2730,300,9,8,31.65710963605007
2020-01-09,geo_8,15065,1908,215,9,8,32.85959446005791
2020-01-09,geo_9,20317,2489,258,9,8,29.215755562374223
2020-01-10,geo_0,21244,2747,199,10,9,31.98078233655558
2020-01-10,geo_1,17442,2207,161,10,9,30.20821752250966
2020-01-10,geo_2,21111,2720,225,10,9,30.799377361125977
2020-01-10,geo_3,26299,3320,241,10,9,29.789708516788995
2020-01-10,geo_4,16816,2188,166,10,9,29.79112043881284
2020-01-10,geo_5,16931,2115,180,10,9,30.67190650711332
2020-01-10,geo_6,26062,3301,256,10,9,30.72580839583751
2020-01-10,geo_7,21776,2809,237,10,9,32.105381994083565
2020-01-10,geo_8,16401,2165,167,10,9,32.99931256477164
2020-01-10,geo_9,21442,2586,204,10,9,29.045676678704965
2020-01-11,geo_0,19588,2578,120,11,10,31.789589056943214
2020-01-11,geo_1,16434,2148,111,11,10,30.705304108098257
2020-01-11,geo_2,20656,2549,114,11,10,30.564859049238756
2020-01-11,geo_3,24414,3050,162,11,10,30.340574654897623
2020-01-11,geo_4,16346,2037,104,11,10,30.4940182137518
2020-01-11,geo_5,15862,1999,119,11,10,29.92909146949238
2020-01-11,geo_6,25116,3141,171,11,10,31.38548859971958
2020-01-11,geo_7,21297,2763,138,11,10,33.22805670140578
2020-01-11,geo_8,14452,1815,87,11,10,33.21664115988372
2020-01-11,geo_9,19286,2332,115,11,10,29.43747443637854
2020-01-12,geo_0,16970,2225,133,12,11,32.40155005734595
2020-01-12,geo_1,14088,1771,113,12,11,30.660429728543058
2020-01-12,geo_2,18273,2354,139,12,11,30.749598703941942
2020-01-12,geo_3,22849,2838,176,12,11,29.777897344882696
2020-01-12,geo_4,13291,1658,93,12,11,30.656113499638778
2020-01-12,geo_5,13792,1696,91,12,11,30.27092525416846
2020-01-12,geo_6,22789,2923,166,12,11,31.738045630213733
2020-01-12,geo_7,18306,2442,143,12,11,33.85448075516001
2020-01-12,geo_8,12205,1631,93,12,11,32.92179977352897
2020-01-12,geo_9,17419,2137,130,12,11,29.264672252890673
2020-01-13,geo_0,16357,2145,175,13,12,33.44412316290543
2020-01-13,geo_1,12602,1538,140,13,12,30.679484798766847
2020-01-13,geo_2,16739,2147,187,13,12,30.944578291333784
2020-01-13,geo_3,21445,2588,219,13,12,29.840189914216893
2020-01-13,geo_4,12434,1560,155,13,12,30.33940204092128
2020-01-13,geo_5,12846,1666,146,13,12,31.176818829503247
2020-01-13,geo_6,21981,2762,258,13,12,31.57004635149337
2020-01-13,geo_7,17215,2247,203,13,12,33.3859144693623
2020-01-13,geo_8,11213,1470,124,13,12,32.79033734452502
2020-01-13,geo_9,15959,1960,168,13,12,28.358682165371313
2020-01-14,geo_0,16375,2138,178,14,13,33.21477373220434
2020-01-14,geo_1,12777,1552,131,14,13,30.291105290741566
2020-01-14,geo_2,17582,2125,172,14,13,31.349732398116284
2020-01-14,geo_3,21913,2683,254,14,13,29.600770468617117
2020-01-14,geo_4,12500,1595,135,14,13,30.87889709232772
2020-01-14,geo_5,12856,1586,140,14,13,31.971653925349187
2020-01-14,geo_6,22342,2865,281,14,13,32.057976368268946
2020-01-14,geo_7,17532,2312,210,14,13,33.3747756683987
2020-01-14,geo_8,11494,1438,120,14,13,32.956262990354354
2020-01-14,geo_9,16798,1967,171,14,13,27.69252815419135
2020-01-15,geo_0,19135,2580,250,15,14,33.24576442944639
2020-01-15,geo_1,15243,1849,184,15,14,29.958146889951706
2020-01-15,geo_2,19315,2475,224,15,14,31.79492385810755
2020-01-15,geo_3,23916,3032,315,15,14,30.98603678115676
2020-01-15,geo_4,14676,1902,163,15,14,31.22597552574625
2020-01-15,geo_5,15145,1895,182,15,14,31.073251482256236
2020-01-15,geo_6,23949,3135,287,15,14,31.97630696473404
2020-01-15,geo_7,20058,2552,244,15,14,33.53416685593149
2020-01-15,geo_8,13895,1887,160,15,14,33.096880931427584
2020-01-15,geo_9,19026,2236,183,15,14,27.425046859311205
2020-01-16,geo_0,20248,2604,239,16,15,33.46798521748749
2020-01-16,geo_1,17905,2221,257,16,15,29.4358411121241
2020-01-16,geo_2,21353,2797,272,16,15,31.422194859644886
2020-01-16,geo_3,25589,3211,348,16,15,31.409537733907243
2020-01-16,geo_4,16472,2091,200,16,15,30.816993719313043
2020-01-16,geo_5,17069,2143,204,16,15,31.441207110238004
2020-01-16,geo_6,26079,3330,369,16,15,31.392233746489918
2020-01-16,geo_7,21524,2916,298,16,15,34.51642464955818
2020-01-16,geo_8,15540,2000,189,16,15,32.8083634383428
2020-01-16,geo_9,20694,2453,250,16,15,27.412834151605637
2020-01-17,geo_0,21178,2667,182,17,16,33.73466679345677
2020-01-17,geo_1,17422,2102,131,17,16,29.25389941162432
2020-01-17,geo_2,21937,2756,187,17,16,31.595425951396564
2020-01-17,geo_3,26030,3313,231,17,16,31.799636825920402
2020-01-17,geo_4,17633,2262,162,17,16,31.39793706540656
2020-01-17,geo_5,17138,2152,162,17,16,31.93759257458858
2020-01-17,geo_6,26363,3414,231,17,16,31.40880680350609
2020-01-17,geo_7,21945,2964,197,17,16,34.54475852261884
2020-01-17,geo_8,16484,2274,150,17,16,34.08331790625122
2020-01-17,geo_9,21793,2589,195,17,16,27.98920011805625
2020-01-18,geo_0,19801,2623,158,18,17,33.377032287612906
2020-01-18,geo_1,17172,2117,142,18,17,29.40651710473731
2020-01-18,geo_2,20706,2580,181,18,17,31.531287744386635
2020-01-18,geo_3,24890,3184,216,18,17,31.8363124405315
2020-01-18,geo_4,16278,2086,154,18,17,30.885714740117336
2020-01-18,geo_5,15861,2029,122,18,17,31.83415622779279
2020-01-18,geo_6,24698,3080,167,18,17,32.418986060981005
2020-01-18,geo_7,21411,2853,181,18,17,34.93785396713442
2020-01-18,geo_8,15320,2065,121,18,17,32.940021475926144
2020-01-18,geo_9,20536,2536,172,18,17,28.70088654588496
2020-01-19,geo_0,17532,2260,145,19,18,34.02712576194216
2020-01-19,geo_1,14195,1741,100,19,18,29.33148678623644
2020-01-19,geo_2,18788,2381,138,19,18,31.995357293084993
2020-01-19,geo_3,23237,2992,196,19,18,31.512977603606714
2020-01-19,geo_4,14436,1814,102,19,18,30.7550989519176
2020-01-19,geo_5,14300,1827,121,19,18,32.68794149521971
2020-01-19,geo_6,23068,3115,201,19,18,32.38954558519464
2020-01-19,geo_7,18717,2491,162,19,18,34.10855224630992
2020-01-19,geo_8,12500,1625,110,19,18,33.01263628475516
2020-01-19,geo_9,18257,2205,125,19,18,28.76691933933163
2020-01-20,geo_0,16412,2152,141,20,19,34.733685646242044
2020-01-20,geo_1,12826,1588,86,20,19,29.4453509451198
2020-01-20,geo_2,16788,2225,145,20,19,31.892103969062887
2020-01-20,geo_3,21475,2789,190,20,19,32.14398896293632
2020-01-20,geo_4,12235,1545,108,20,19,30.922087755244036
2020-01-20,geo_5,12586,1669,84,20,19,32.41952385901305
2020-01-20,geo_6,21784,2894,179,20,19,33.075588618424774
2020-01-20,geo_7,17952,2320,147,20,19,34.313049809854604
2020-01-20,geo_8,11640,1456,102,20,19,33.12044241273356
2020-01-20,geo_9,16331,1996,133,20,19,28.963298373236583
2020-01-21,geo_0,17159,2272,200,21,20,34.307915747125826
2020-01-21,geo_1,13660,1721,148,21,20,29.29039483814471
2020-01-21,geo_2,17727,2411,195,21,20,32.00362509550857
2020-01-21,geo_3,22449,2991,264,21,20,32.15735166762024
2020-01-21,geo_4,13437,1725,145,21,20,31.667068382618822
2020-01-21,geo_5,13632,1759,138,21,20,32.63699323920007
2020-01-21,geo_6,22634,2953,260,21,20,33.613797340888
2020-01-21,geo_7,18228,2515,237,21,20,34.427608788661374
2020-01-21,geo_8,11901,1595,146,21,20,33.757097441212444
2020-01-21,geo_9,16954,2061,182,21,20,29.271676780354298
2020-01-22,geo_0,18820,2527,208,22,21,34.42646689397771
2020-01-22,geo_1,15521,1865,133,22,21,29.394886282113188
2020-01-22,geo_2,20254,2669,210,22,21,31.6384156651632
2020-01-22,geo_3,23848,3067,251,22,21,32.523804183045854
2020-01-22,geo_4,15736,2081,159,22,21,31.757992490481072
2020-01-22,geo_5,15344,2017,191,22,21,32.497023752467975
2020-01-22,geo_6,24842,3295,255,22,21,34.28008638322935
2020-01-22,geo_7,20243,2701,207,22,21,33.91464486642074
2020-01-22,geo_8,14246,1926,150,22,21,33.65661500717166
2020-01-22,geo_9,19307,2433,192,22,21,29.89742834511567
2020-01-23,geo_0,20689,2727,225,23,22,34.69842977834403
2020-01-23,geo_1,17943,2255,172,23,22,29.48443537524205
2020-01-23,geo_2,21577,2806,230,23,22,31.87829139574355
2020-01-23,geo_3,25565,3327,287,23,22,32.72889078470396
2020-01-23,geo_4,17481,2257,177,23,22,31.113031012909875
2020-01-23,geo_5,17106,2225,186,23,22,32.43576262397857
2020-01-23,geo_6,26903,3608,245,23,22,35.2037915684596
2020-01-23,geo_7,22649,3000,257,23,22,33.6994937985309
2020-01-23,geo_8,16367,2212,173,23,22,33.61056782639401
2020-01-23,geo_9,21119,2687,236,23,22,29.74087174602604
2020-01-24,geo_0,21064,2835,251,24,23,34.77156378055247
2020-01-24,geo_1,18654,2323,194,24,23,29.30877727084267
2020-01-24,geo_2,22410,2871,247,24,23,32.23847999264848
2020-01-24,geo_3,27386,3615,309,24,23,32.94539238005634
2020-01-24,geo_4,18475,2348,195,24,23,31.615597046382632
2020-01-24,geo_5,18333,2421,195,24,23,32.02608428581384
2020-01-24,geo_6,26792,3609,304,24,23,35.1515324435738
2020-01-24,geo_7,22677,2974,239,24,23,33.70359029725845
2020-01-24,geo_8,16949,2218,178,24,23,33.953911344274665
2020-01-24,geo_9,21609,2627,236,24,23,29.460956248936704
2020-01-25,geo_0,19887,2701,195,25,24,35.348547826582944
2020-01-25,geo_1,16898,2116,177,25,24,30.02038798492991
2020-01-25,geo_2,21283,2723,207,25,24,31.86338099536467
2020-01-25,geo_3,25444,3355,247,25,24,32.82034230206815
2020-01-25,geo_4,16617,2167,184,25,24,31.467920730019763
2020-01-25,geo_5,16244,2080,155,25,24,33.460566845356254
2020-01-25,geo_6,26093,3475,262,25,24,35.057036416056846
2020-01-25,geo_7,21921,2943,210,25,24,34.66188318218775
2020-01-25,geo_8,15030,1960,145,25,24,33.438606751866295
2020-01-25,geo_9,20563,2549,181,25,24,29.085342550934037
2020-01-26,geo_0,18605,2516,144,26,25,35.126989051958496
2020-01-26,geo_1,15364,1928,106,26,25,29.71851622471498
2020-01-26,geo_2,18978,2394,138,26,25,31.85135905988887
2020-01-26,geo_3,23372,2994,168,26,25,32.588952598334096
2020-01-26,geo_4,14185,1806,118,26,25,31.179106884969844
2020-01-26,geo_5,14268,1881,97,26,25,34.16065981475232
2020-01-26,geo_6,23750,3153,188,26,25,35.792001749057555
2020-01-26,geo_7,19917,2728,164,26,25,35.25860495388576
2020-01-26,geo_8,13633,1796,115,26,25,33.82117911354214
2020-01-26,geo_9,19046,2298,110,26,25,29.253513402307522
2020-01-27,geo_0,16973,2240,140,27,26,35.002869703214905
2020-01-27,geo_1,13631,1724,103,27,26,29.365546083659588
2020-01-27,geo_2,17970,2312,153,27,26,32.15744085612643
2020-01-27,geo_3,22174,2838,167,27,26,32.12781666823193
2020-01-27,geo_4,13387,1641,102,27,26,30.8056365613612
2020-01-27,geo_5,13456,1744,110,27,26,34.86060660410811
2020-01-27,geo_6,22776,3172,192,27,26,36.86807616625975
2020-01-27,geo_7,18007,2352,163,27,26,35.57998574137549
2020-01-27,geo_8,11776,1572,92,27,26,34.49760757407134
2020-01-27,geo_9,16878,2056,124,27,26,29.255042283702426
2020-01-28,geo_0,17573,2355,264,28,27,34.461142469697734
2020-01-28,geo_1,13882,1735,160,28,27,29.797937189378956
2020-01-28,geo_2,18448,2464,286,28,27,32.56938742555231
2020-01-28,geo_3,22512,2907,290,28,27,32.29207207050117
2020-01-28,geo_4,13512,1670,183,28,27,30.810633073788654
2020-01-28,geo_5,13731,1843,215,28,27,35.46789615559531
2020-01-28,geo_6,22499,3071,353,28,27,36.50370294593546
2020-01-28,geo_7,18210,2531,291,28,27,35.32054989021322
2020-01-28,geo_8,13011,1764,205,28,27,34.11944197324299
2020-01-28,geo_9,17326,2122,257,28,27,29.424696912554438
2020-01-29,geo_0,19336,2598,315,29,28,34.0470761089205
2020-01-29,geo_1,16189,2027,239,29,28,29.584874146295103
2020-01-29,geo_2,20501,2670,347,29,28,32.34658602356094
2020-01-29,geo_3,24064,3000,354,29,28,32.29298789369253
2020-01-29,geo_4,15992,2000,243,29,28,30.195880204508292
2020-01-29,geo_5,15272,2168,251,29,28,35.64043302670372
2020-01-29,geo_6,24513,3466,445,29,28,37.258648504612935
2020-01-29,geo_7,21114,2891,317,29,28,35.518527810299766
2020-01-29,geo_8,14758,1974,245,29,28,35.01873384665327
2020-01-29,geo_9,19866,2528,284,29,28,30.221635709131057
2020-01-30,geo_0,21737,2938,313,30,29,34.568645423319225
2020-01-30,geo_1,18906,2339,252,30,29,29.75407890020759
2020-01-30,geo_2,21884,2825,327,30,29,32.490738505482575
2020-01-30,geo_3,26393,3388,356,30,29,32.80895852283577
2020-01-30,geo_4,18020,2275,246,30,29,30.131780351862893
2020-01-30,geo_5,17687,2274,247,30,29,34.83090812470464
2020-01-30,geo_6,26640,3687,384,30,29,37.63879662070055
2020-01-30,geo_7,22375,2941,293,30,29,35.08605502388199
2020-01-30,geo_8,16101,2159,230,30,29,34.6690890479297
2020-01-30,geo_9,22287,2763,310,30,29,30.354510326169606
2020-01-31,geo_0,22101,0,0,31,30,0.0
2020-01-31,geo_1,19065,0,0,31,30,0.0
2020-01-31,geo_2,22592,0,0,31,30,0.0
2020-01-31,geo_3,26916,0,0,31,30,0.0
2020-01-31,geo_4,17941,0,0,31,30,0.0
2020-01-31,geo_5,18140,0,0,31,30,0.0
2020-01-31,geo_6,27350,0,0,31,30,0.0
2020-01-31,geo_7,23876,0,0,31,30,0.0
2020-01-31,geo_8,17411,0,0,31,30,0.0
2020-01-31,geo_9,21811,0,0,31,30,0.0
2020-02-01,geo_0,21175,0,0,32,31,0.0
2020-02-01,geo_1,17704,0,0,32,31,0.0
2020-02-01,geo_2,21447,0,0,32,31,0.0
2020-02-01,geo_3,25935,0,0,32,31,0.0
2020-02-01,geo_4,16957,0,0,32,31,0.0
2020-02-01,geo_5,16685,0,0,32,31,0.0
2020-02-01,geo_6,26064,0,0,32,31,0.0
2020-02-01,geo_7,22282,0,0,32,31,0.0
2020-02-01,geo_8,15480,0,0,32,31,0.0
2020-02-01,geo_9,20696,0,0,32,31,0.0
2020-02-02,geo_0,18118,0,0,33,32,0.0
2020-02-02,geo_1,14868,0,0,33,32,0.0
2020-02-02,geo_2,19721,0,0,33,32,0.0
2020-02-02,geo_3,23927,0,0,33,32,0.0
2020-02-02,geo_4,14855,0,0,33,32,0.0
2020-02-02,geo_5,14422,0,0,33,32,0.0
2020-02-02,geo_6,23891,0,0,33,32,0.0
2020-02-02,geo_7,20169,0,0,33,32,0.0
2020-02-02,geo_8,13514,0,0,33,32,0.0
2020-02-02,geo_9,18581,0,0,33,32,0.0
2020-02-03,geo_0,17309,0,0,34,33,0.0
2020-02-03,geo_1,14229,0,0,34,33,0.0
2020-02-03,geo_2,18220,0,0,34,33,0.0
2020-02-03,geo_3,21964,0,0,34,33,0.0
2020-02-03,geo_4,13606,0,0,34,33,0.0
2020-02-03,geo_5,13685,0,0,34,33,0.0
2020-02-03,geo_6,22608,0,0,34,33,0.0
2020-02-03,geo_7,18995,0,0,34,33,0.0
2020-02-03,geo_8,12581,0,0,34,33,0.0
2020-02-03,geo_9,17283,0,0,34,33,0.0
2020-02-04,geo_0,17614,0,0,35,34,0.0
2020-02-04,geo_1,14821,0,0,35,34,0.0
2020-02-04,geo_2,18157,0,0,35,34,0.0
2020-02-04,geo_3,23233,0,0,35,34,0.0
2020-02-04,geo_4,14664,0,0,35,34,0.0
2020-02-04,geo_5,14433,0,0,35,34,0.0
2020-02-04,geo_6,23293,0,0,35,34,0.0
2020-02-04,geo_7,19267,0,0,35,34,0.0
2020-02-04,geo_8,12935,0,0,35,34,0.0
2020-02-04,geo_9,18048,0,0,35,34,0.0
2020-02-05,geo_0,20081,0,0,36,35,0.0
2020-02-05,geo_1,16628,0,0,36,35,0.0
2020-02-05,geo_2,21094,0,0,36,35,0.0
2020-02-05,geo_3,25678,0,0,36,35,0.0
2020-02-05,geo_4,15934,0,0,36,35,0.0
2020-02-05,geo_5,15626,0,0,36,35,0.0
2020-02-05,geo_6,24622,0,0,36,35,0.0
2020-02-05,geo_7,20700,0,0,36,35,0.0
2020-02-05,geo_8,14520,0,0,36,35,0.0
2020-02-05,geo_9,20130,0,0,36,35,0.0
2020-02-06,geo_0,21316,0,0,37,36,0.0
2020-02-06,geo_1,18790,0,0,37,36,0.0
2020-02-06,geo_2,23201,0,0,37,36,0.0
2020-02-06,geo_3,26330,0,0,37,36,0.0
2020-02-06,geo_4,18481,0,0,37,36,0.0
2020-02-06,geo_5,17907,0,0,37,36,0.0
2020-02-06,geo_6,27256,0,0,37,36,0.0
2020-02-06,geo_7,23713,0,0,37,36,0.0
2020-02-06,geo_8,17134,0,0,37,36,0.0
2020-02-06,geo_9,22495,0,0,37,36,0.0
2020-02-07,geo_0,22755,3019,258,38,37,33.08190007387778
2020-02-07,geo_1,19695,2387,217,38,37,27.469833878339216
2020-02-07,geo_2,22956,3020,247,38,37,33.589135468171584
2020-02-07,geo_3,27486,3451,333,38,37,32.15099900249337
2020-02-07,geo_4,19140,2444,198,38,37,32.272499504448994
2020-02-07,geo_5,19157,2563,214,38,37,36.13514500428544
2020-02-07,geo_6,28367,3884,374,38,37,37.6036002907832
2020-02-07,geo_7,23370,3361,308,38,37,39.798538376442934
2020-02-07,geo_8,17466,2237,226,38,37,33.52136935632664
2020-02-07,geo_9,22850,2950,278,38,37,31.979173282414948
2020-02-08,geo_0,21390,2823,208,39,38,33.2008210555821
2020-02-08,geo_1,18580,2224,156,39,38,28.046008476629165
2020-02-08,geo_2,22472,3008,200,39,38,33.91693176076025
2020-02-08,geo_3,26370,3470,249,39,38,32.56221857498377
2020-02-08,geo_4,17649,2348,164,39,38,32.68063492029135
2020-02-08,geo_5,18039,2492,179,39,38,36.735722210692586
2020-02-08,geo_6,26326,3676,241,39,38,37.90892904090479
2020-02-08,geo_7,22706,3142,199,39,38,40.13791241852626
2020-02-08,geo_8,16312,2144,170,39,38,34.27375623190264
2020-02-08,geo_9,21723,2742,224,39,38,31.806241046204384
2020-02-09,geo_0,18998,2529,149,40,39,32.93550076477002
2020-02-09,geo_1,16303,1900,106,40,39,27.614569782461498
2020-02-09,geo_2,19652,2653,142,40,39,34.17118563745216
2020-02-09,geo_3,23714,2969,158,40,39,31.799580330273866
2020-02-09,geo_4,15911,2192,128,40,39,33.073079265930225
2020-02-09,geo_5,15012,2070,108,40,39,36.842492987544276
2020-02-09,geo_6,24251,3415,179,40,39,38.640569060719656
2020-02-09,geo_7,21088,2965,187,40,39,39.96494541766193
2020-02-09,geo_8,14564,1947,103,40,39,34.33308510208976
2020-02-09,geo_9,19380,2506,124,40,39,32.529968252053415
2020-02-10,geo_0,17930,2389,247,41,40,33.792642187726294
2020-02-10,geo_1,14667,1712,164,41,40,27.439019173360055
2020-02-10,geo_2,18378,2583,262,41,40,34.427900015829906
2020-02-10,geo_3,22674,2851,285,41,40,32.11407147657653
2020-02-10,geo_4,14178,1858,199,41,40,33.42427385608092
2020-02-10,geo_5,14290,1993,223,41,40,36.87557307221214
2020-02-10,geo_6,23876,3456,341,41,40,39.448636427433684
2020-02-10,geo_7,19923,2845,277,41,40,39.186116124510335
2020-02-10,geo_8,12690,1708,172,41,40,34.28650153459961
2020-02-10,geo_9,18282,2267,239,41,40,32.91958314410154
2020-02-11,geo_0,18008,2369,294,42,41,34.18983391641889
2020-02-11,geo_1,15161,1864,242,42,41,28.2829109603652
2020-02-11,geo_2,19068,2585,304,42,41,35.19584673896471
2020-02-11,geo_3,24104,3146,377,42,41,32.14161905158593
2020-02-11,geo_4,14650,1988,232,42,41,34.24156120056535
2020-02-11,geo_5,14109,1897,260,42,41,36.68590395051796
2020-02-11,geo_6,23504,3340,399,42,41,40.08449422328843
2020-02-11,geo_7,20163,2852,353,42,41,40.26041368366612
2020-02-11,geo_8,13676,1923,244,42,41,35.060931959980046
2020-02-11,geo_9,18630,2476,314,42,41,33.14112496299244
2020-02-12,geo_0,20057,2671,376,43,42,34.19550661373858
2020-02-12,geo_1,17700,2221,302,43,42,27.689091464539743
2020-02-12,geo_2,20925,2808,402,43,42,35.522937851549166
2020-02-12,geo_3,25883,3297,475,43,42,31.75734235592002
2020-02-12,geo_4,17164,2209,335,43,42,34.01530663140842
2020-02-12,geo_5,16432,2248,323,43,42,36.26084384076123
2020-02-12,geo_6,25657,3641,525,43,42,40.027727385641896
2020-02-12,geo_7,22280,3189,436,43,42,40.41845614274227
2020-02-12,geo_8,15462,2007,257,43,42,35.36765170268976
2020-02-12,geo_9,20559,2643,350,43,42,33.01251240068875
2020-02-13,geo_0,22770,3027,350,44,43,34.904664237371314
2020-02-13,geo_1,19634,2329,270,44,43,27.758399979220965
2020-02-13,geo_2,23784,3309,377,44,43,35.303856078452185
2020-02-13,geo_3,27828,3492,433,44,43,32.04680456533957
2020-02-13,geo_4,18716,2556,307,44,43,35.170327989215245
2020-02-13,geo_5,18768,2538,341,44,43,36.60166909350668
2020-02-13,geo_6,28225,4097,489,44,43,40.02271473517419
2020-02-13,geo_7,23949,3385,400,44,43,39.82971432530454
2020-02-13,geo_8,17488,2452,294,44,43,35.4307832807959
2020-02-13,geo_9,22953,3013,357,44,43,33.304572260320164
2020-02-14,geo_0,22774,3075,200,45,44,34.88830804837414
2020-02-14,geo_1,19912,2337,158,45,44,27.10201881692562
2020-02-14,geo_2,23466,3193,232,45,44,35.056275722926074
2020-02-14,geo_3,28335,3669,256,45,44,32.953338464891644
2020-02-14,geo_4,18910,2579,198,45,44,36.063470665801425
2020-02-14,geo_5,18776,2529,175,45,44,36.334491712543944
